Date;Time; Temperatura  -  Med  (C) ; Umidità  -  Med  (%) ; Pressione  -  Med  (hpa) ; Velocità  del  vento  -  Med  (kmh) ; Raffica  di  vento  -  Med  (kmh) ; Direzione  del  vento  -  Tutti  (°) ; Punto  di  rugiada  -  Med  (C) ; Temperatura  apparente  -  Med  (C) ; Quantità  di  pioggia  -  Med  (mm/h) ; Precipitation  -  Totale  (mm) ; Radiazione  solare  -  Med  (W/m2) 
2025-03-16;00.00;7.20;97.00;955.40;0.00;5.00;38;6.70;6.40;3.20;0.00;0.00
2025-03-16;00.05;7.30;97.00;955.60;0.00;5.00;51;6.80;6.60;1.50;0.20;0.00
2025-03-16;00.10;7.30;97.00;955.60;0.00;5.00;74;6.80;6.60;2.00;0.40;0.00
2025-03-16;00.15;7.30;97.00;955.50;0.00;5.00;54;6.80;6.60;2.50;0.60;0.00
2025-03-16;00.20;7.30;97.00;955.60;0.00;5.00;126;6.80;6.60;2.30;0.80;0.00
2025-03-16;00.25;7.30;97.00;955.50;0.00;3.00;127;6.80;6.60;2.50;1.00;0.00
2025-03-16;00.30;7.20;97.00;955.70;0.00;2.00;127;6.70;6.40;2.40;1.20;0.00
2025-03-16;00.35;7.20;97.00;955.60;0.00;2.00;127;6.70;6.40;3.60;1.60;0.00
2025-03-16;00.40;7.20;97.00;955.70;0.00;0.00;127;6.70;6.40;3.40;1.80;0.00
2025-03-16;00.45;7.20;97.00;955.60;0.00;0.00;127;6.70;6.40;3.70;2.20;0.00
2025-03-16;00.50;7.20;97.00;955.50;0.00;0.00;127;6.70;6.40;3.30;2.40;0.00
2025-03-16;00.55;7.20;97.00;955.50;0.00;0.00;127;6.70;6.40;2.60;2.60;0.00
2025-03-16;01.00;7.20;97.00;955.40;0.00;0.00;127;6.70;6.40;2.20;2.60;0.00
2025-03-16;01.05;7.20;97.00;955.40;0.00;0.00;127;6.70;6.40;2.30;2.80;0.00
2025-03-16;01.10;7.10;97.00;955.40;0.00;0.00;127;6.70;6.30;1.80;3.00;0.00
2025-03-16;01.20;7.10;97.00;955.50;0.00;0.00;127;6.70;6.30;1.90;3.40;0.00
2025-03-16;01.25;7.10;97.00;955.50;0.00;0.00;127;6.70;6.30;2.40;3.60;0.00
2025-03-16;01.30;7.10;97.00;955.60;0.00;0.00;127;6.70;6.30;3.00;3.80;0.00
2025-03-16;01.35;7.10;97.00;955.70;0.00;0.00;127;6.70;6.30;3.60;4.20;0.00
2025-03-16;01.40;7.00;97.00;955.60;0.00;0.00;127;6.60;6.20;2.70;4.40;0.00
2025-03-16;01.45;6.90;97.00;955.60;0.00;0.00;127;6.50;6.10;2.70;4.60;0.00
2025-03-16;01.50;6.90;97.00;955.60;0.50;6.00;41;6.50;6.00;2.10;4.60;0.00
2025-03-16;01.55;6.90;97.00;955.60;1.00;6.00;115;6.50;5.90;1.10;4.80;0.00
2025-03-16;02.00;6.90;97.00;955.50;1.00;5.00;121;6.50;5.90;1.00;4.80;0.00
2025-03-16;02.05;6.90;97.00;955.60;0.00;2.00;121;6.50;6.10;4.20;5.40;0.00
2025-03-16;02.10;6.90;97.00;955.60;0.00;2.00;121;6.50;6.10;4.00;5.60;0.00
2025-03-16;02.15;6.80;97.00;955.70;0.00;2.00;121;6.40;6.00;2.30;5.80;0.00
2025-03-16;02.20;6.80;97.00;955.70;0.00;2.00;121;6.40;6.00;1.80;5.80;0.00
2025-03-16;02.25;6.80;97.00;955.70;0.00;2.00;121;6.40;5.90;1.40;6.00;0.00
2025-03-16;02.30;6.70;97.00;955.80;0.00;2.00;123;6.30;5.80;1.40;6.00;0.00
2025-03-16;02.35;6.60;97.00;955.90;0.00;2.00;123;6.20;5.70;1.60;6.40;0.00
2025-03-16;02.40;6.60;97.00;955.90;0.00;2.00;123;6.20;5.70;2.20;6.40;0.00
2025-03-16;02.45;6.60;97.00;955.80;0.00;2.00;117;6.20;5.70;3.80;7.00;0.00
2025-03-16;02.50;6.50;97.00;955.80;0.00;2.00;106;6.10;5.60;5.00;7.20;0.00
2025-03-16;02.55;6.60;97.00;955.80;0.00;2.00;106;6.20;5.70;3.70;7.60;0.00
2025-03-16;03.00;6.60;97.00;955.80;0.00;2.00;109;6.20;5.70;2.80;7.60;0.00
2025-03-16;03.05;6.50;97.00;955.80;0.00;2.00;109;6.10;5.60;2.50;8.00;0.00
2025-03-16;03.10;6.50;97.00;956.00;0.00;2.00;109;6.10;5.60;2.30;8.20;0.00
2025-03-16;03.15;6.40;97.00;955.90;0.00;2.00;109;6.00;5.50;2.10;8.40;0.00
2025-03-16;03.20;6.40;97.00;955.90;0.00;2.00;109;6.00;5.50;2.20;8.40;0.00
2025-03-16;03.25;6.30;97.00;956.00;0.00;2.00;116;5.90;5.40;1.40;8.40;0.00
2025-03-16;03.30;6.30;97.00;955.90;0.00;5.00;283;5.90;5.40;1.00;8.40;0.00
2025-03-16;03.35;6.30;97.00;956.00;0.00;5.00;287;5.90;5.40;1.10;8.80;0.00
2025-03-16;03.40;6.40;97.00;956.00;0.00;5.00;95;6.00;5.50;2.00;8.80;0.00
2025-03-16;03.45;6.50;97.00;956.10;0.00;5.00;84;6.10;5.60;1.50;9.00;0.00
2025-03-16;03.50;6.60;97.00;956.10;0.00;3.00;65;6.20;5.70;1.80;9.20;0.00
2025-03-16;03.55;6.60;97.00;956.30;0.30;6.00;100;6.20;5.60;2.30;9.20;0.00
2025-03-16;04.00;6.60;97.00;956.40;1.00;6.00;133;6.20;5.50;1.40;9.20;0.00
2025-03-16;04.05;6.60;97.00;956.50;0.80;6.00;133;6.20;5.50;1.40;9.40;0.00
2025-03-16;04.10;6.50;97.00;956.60;0.00;3.00;134;6.10;5.60;1.10;9.40;0.00
2025-03-16;04.15;6.40;97.00;956.70;1.00;24.00;205;6.00;5.30;0.80;9.60;0.00
2025-03-16;04.20;6.20;97.00;956.80;2.00;24.00;282;5.80;4.80;0.80;9.60;0.00
2025-03-16;04.25;6.10;97.00;956.80;1.70;24.00;217;5.70;4.80;0.80;9.60;0.00
2025-03-16;04.30;6.00;97.00;956.90;1.00;6.00;163;5.60;4.80;0.80;9.60;0.00
2025-03-16;04.35;6.00;97.00;956.90;0.50;6.00;163;5.60;4.90;0.00;9.60;0.00
